0,2044
5.76,2674
7.5,671
8.07,1100
8.65,2837
9.23,14148
9.8,2526
10.38,2531
10.96,2533
11.53,2601
12.11,2619
12.69,2700
13.26,2696
13.84,2703
14.42,2685
15,2670
15.57,2716
16.15,2763
16.73,2814
17.3,2860
17.88,2911
18.46,2977
19.03,3025
19.61,3095
20.19,3161
20.76,3210
21.34,3281
21.92,3356
22.5,3435
23.07,3496
23.65,3589
24.23,3689
24.8,3751
25.38,3871
25.96,874
26.53,884
28.26,863
28.84,874
29.42,4031
30,3864
31.15,4066
31.73,3987
32.3,3873
32.88,3869
33.46,3785
35.19,1360
35.76,3932
37.5,7181
38.07,7181
39.8,6970
40.38,7421
42.11,3829
42.69,3843
43.26,3832
43.84,3841
45,3841
45.57,3840
46.15,3830
46.73,3840
47.3,3830
47.88,3841
48.46,3840
49.03,3830
49.61,3840
50.19,3845
50.76,3849
51.34,3854
51.92,3841
52.5,3853
53.07,3841
53.65,3827
54.23,3827
54.8,3847
55.38,3841
55.96,3840
56.53,3856
57.11,3860
57.69,3877
58.26,3866
58.84,3886
59.42,3886
60,3896
60.57,3909
61.15,3917
61.73,3921
62.3,3930
62.88,3942
63.46,3973
64.03,3983
64.61,4002
65.19,3989
65.76,4022
66.34,4035
67.5,4056
68.07,4104
68.65,4128
69.23,4141
69.8,4152
70.38,4161
70.96,4199
71.53,4212
72.11,4226
72.69,4260
73.26,4279
73.84,4274
74.42,4314
75,4343
75.57,4378
76.15,4398
76.73,4426
77.3,4431
77.88,4467
78.46,4480
79.03,4539
79.61,4568
80.19,4475
80.76,4391
81.34,4356
81.92,4371
82.5,4429
83.07,10216
83.65,10162
86.53,11018
87.11,11018
88.84,3617
90,3579
90.57,3554
91.15,3501
91.73,3469
92.3,3429
94.03,3325
94.61,3301
95.19,2942
95.76,3234
96.34,2957
96.92,3028
97.5,3207
98.07,3640
99.23,12052
100.38,4784
100.96,4683
101.53,4669
102.11,4667
102.69,4680
103.26,4711
103.84,2881
104.42,2863
105,2842
105.57,2824
106.15,2801
106.73,2785
107.3,2774
107.88,2751
108.46,2739
109.03,2730
109.61,2707
110.19,2699
110.76,2686
111.34,2666
112.5,2653
113.07,2642
113.65,2632
114.23,2612
114.8,2602
115.38,2596
115.96,2574
116.53,2716
117.11,3244
117.69,5608
118.26,5573
118.84,5569
119.42,5553
120,5530
120.57,5454
121.15,5361
121.73,5357
122.3,5361
122.88,5350
123.46,5331
124.03,5320
124.61,5320
125.19,5290
125.76,5290
126.34,5286
126.92,5282
127.5,5256
128.07,5249
128.65,5234
129.23,5216
129.8,5216
130.38,5213
130.96,5194
131.53,5224
132.11,5201
132.69,5184
133.26,5191
133.84,5184
135,5178
135.57,5197
136.15,5187
136.73,5201
137.3,5191
137.88,5191
138.46,5205
139.03,5184
139.61,5205
140.19,5201
140.76,5209
141.34,5216
141.92,5201
142.5,5245
143.07,5245
143.65,5224
144.23,5245
144.8,5256
145.38,5305
145.96,5301
146.53,5279
147.11,5301
147.69,5316
148.26,5305
148.84,5335
149.42,2792
150,2416
150.57,2462
151.15,2479
151.73,2485
152.3,2487
152.88,2496
153.46,2500
154.03,2519
154.61,2517
155.19,2534
155.76,2544
156.34,2551
157.5,2558
158.07,2567
158.65,2580
159.23,2594
159.8,2605
160.38,2614
160.96,2628
161.53,2635
162.11,2648
162.69,2658
163.26,2675
163.84,2683
164.42,2697
165,7400
165.57,7567
166.15,4844
166.73,4724
167.3,4486
167.88,4465
168.46,4452
169.03,4462
169.61,4393
170.19,4244
170.76,2496
171.34,1810
171.92,2557
172.5,2957
173.07,2978
173.65,2993
174.23,3032
174.8,3055
175.38,3083
175.96,3115
176.53,3136
177.11,3165
177.69,3192
178.26,3225
180,3250
180.57,3277
181.15,3317
181.73,3346
182.3,3337
182.88,3309
183.46,3269
184.03,3239
184.61,3211
185.19,3178
185.76,3145
186.34,3110
186.92,3082
187.5,3060
188.07,2901
188.65,2500
189.23,2481
189.8,2460
190.38,2481
190.96,2504
191.53,2475
192.11,2388
192.69,2486
193.26,2461
194.42,2322
195,2410
195.57,2467
199.03,2294
200.19,2263
200.76,2269
201.34,2240
203.65,2194
204.8,2191
207.69,2120
208.26,2069
208.84,2055
209.42,2047
210,2038
210.57,2030
211.15,2022
211.73,2018
212.3,2014
212.88,2007
213.46,2003
214.03,2070
214.61,2051
215.19,2039
215.76,2032
216.34,2037
216.92,2032
217.5,2037
218.07,2021
218.65,2032
219.23,2034
219.8,2020
220.38,2026
220.96,2021
221.53,2022
222.11,2030
222.69,2011
223.26,2008
223.84,2011
225,2000
225.57,2017
226.15,2018
226.73,2005
227.3,2026
227.88,2012
228.46,2021
229.03,1997
229.61,2016
230.19,2026
230.76,2009
231.92,2021
232.5,2010
233.07,2026
234.23,2060
234.8,2057
235.38,2049
235.96,2054
236.53,2083
237.11,1983
237.69,1984
238.26,1993
238.84,1994
239.42,1999
240,2391
240.57,2403
241.15,2407
241.73,2412
242.3,2418
242.88,2430
243.46,2434
244.03,2450
244.61,2455
245.19,2462
245.76,2470
246.34,2482
247.5,2491
248.07,2494
248.65,2511
249.23,2522
249.8,2533
250.38,2544
250.96,2559
251.53,2578
